START TIME:2024-04-02 17:10:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
1.860211e+00, -4.00000e-01, -4.92334e-05, -4.50000e-01, -5.37145e-03
1.880263e+00, -4.00000e-01, -3.83854e-05, -5.00000e-01, -5.55348e-03
1.900315e+00, -4.00000e-01, -5.74589e-05, -5.50000e-01, -5.61094e-03
1.920369e+00, -4.00000e-01, -4.52995e-05, -6.00000e-01, -5.59437e-03
1.929628e+00, -5.00000e-01, -1.89900e-04, 1.00000e-01, 1.39141e-03
1.949680e+00, -5.00000e-01, -1.00374e-04, 5.00000e-02, 1.02985e-03
1.969732e+00, -5.00000e-01, -6.09159e-05, 1.38778e-17, 1.92404e-04
1.989892e+00, -5.00000e-01, -6.04391e-05, -5.00000e-02, -6.69956e-04
2.009944e+00, -5.00000e-01, -7.16448e-05, -1.00000e-01, -1.50537e-03
2.029996e+00, -5.00000e-01, -6.31809e-05, -1.50000e-01, -2.31481e-03
2.050048e+00, -5.00000e-01, -5.85318e-05, -2.00000e-01, -3.11756e-03
2.070100e+00, -5.00000e-01, -6.53267e-05, -2.50000e-01, -3.90017e-03
2.090153e+00, -5.00000e-01, -6.72340e-05, -3.00000e-01, -4.64368e-03
2.110204e+00, -5.00000e-01, -5.76973e-05, -3.50000e-01, -5.35095e-03
2.130256e+00, -5.00000e-01, -4.75645e-05, -4.00000e-01, -6.00207e-03
2.150308e+00, -5.00000e-01, -5.05447e-05, -4.50000e-01, -6.60050e-03
2.170359e+00, -5.00000e-01, -4.88758e-05, -5.00000e-01, -7.12347e-03
2.190411e+00, -5.00000e-01, -5.53131e-05, -5.50000e-01, -7.53295e-03
2.210465e+00, -5.00000e-01, -5.76973e-05, -6.00000e-01, -7.86924e-03
