START TIME:2024-03-27 19:29:44
TIME(sec),GATE-VOLTAGE(V),GATE-CURRENT(A),DRAIN-VOLTAGE(V),DRAIN-CURRENT(A)
1.772013e+00, -1.60000e-01, 4.88758e-07, -1.80000e-01, 2.44737e-04
1.792065e+00, -1.60000e-01, 5.24521e-07, -1.60000e-01, 2.40803e-04
1.812117e+00, -1.60000e-01, 5.96046e-07, -1.40000e-01, 2.59519e-04
1.832169e+00, -1.60000e-01, 6.07967e-07, -1.20000e-01, 2.65241e-04
1.852220e+00, -1.60000e-01, 5.96046e-07, -1.00000e-01, 2.63691e-04
1.872272e+00, -1.60000e-01, 5.36442e-07, -8.00000e-02, 2.51889e-04
1.892324e+00, -1.60000e-01, 5.48363e-07, -6.00000e-02, 2.47836e-04
1.912376e+00, -1.60000e-01, 5.24521e-07, -4.00000e-02, 2.40564e-04
1.932428e+00, -1.60000e-01, 5.36442e-07, -2.00000e-02, 2.61426e-04
1.952589e+00, -1.60000e-01, 5.96046e-07, 0.00000e+00, 2.79188e-04
1.972641e+00, -1.60000e-01, 5.48363e-07, 2.00000e-02, 2.60711e-04
1.992693e+00, -1.60000e-01, 5.48363e-07, 4.00000e-02, 2.57611e-04
2.012745e+00, -1.60000e-01, 5.72205e-07, 6.00000e-02, 2.65837e-04
2.032796e+00, -1.60000e-01, 5.60284e-07, 8.00000e-02, 2.61903e-04
2.052848e+00, -1.60000e-01, 5.48363e-07, 1.00000e-01, 2.45929e-04
2.072901e+00, -1.60000e-01, 5.36442e-07, 1.20000e-01, 2.42591e-04
2.092953e+00, -1.60000e-01, 5.24521e-07, 1.40000e-01, 2.44975e-04
2.113005e+00, -1.60000e-01, 5.48363e-07, 1.60000e-01, 2.52962e-04
2.133057e+00, -1.60000e-01, 5.60284e-07, 1.80000e-01, 2.56777e-04
2.153108e+00, -1.60000e-01, 5.24521e-07, 2.00000e-01, 2.59757e-04
2.173160e+00, -1.60000e-01, 4.76837e-07, 2.20000e-01, 2.41995e-04
2.193214e+00, -1.60000e-01, 5.48363e-07, 2.40000e-01, 2.55704e-04
2.213266e+00, -1.60000e-01, 5.72205e-07, 2.60000e-01, 2.51174e-04
2.233317e+00, -1.60000e-01, 5.72205e-07, 2.80000e-01, 2.53201e-04
2.253369e+00, -1.60000e-01, 5.72205e-07, 3.00000e-01, 2.62022e-04
2.273421e+00, -1.60000e-01, 5.24521e-07, 3.20000e-01, 2.56419e-04
2.293472e+00, -1.60000e-01, 4.76837e-07, 3.40000e-01, 2.59399e-04
2.313524e+00, -1.60000e-01, 5.00679e-07, 3.60000e-01, 2.54512e-04
2.333576e+00, -1.60000e-01, 4.88758e-07, 3.80000e-01, 2.53081e-04
2.353630e+00, -1.60000e-01, 5.48363e-07, 4.00000e-01, 2.62141e-04
2.373680e+00, -1.60000e-01, 5.60284e-07, 4.20000e-01, 2.59042e-04
2.393730e+00, -1.60000e-01, 4.88758e-07, 4.40000e-01, 2.64406e-04
2.413780e+00, -1.60000e-01, 5.24521e-07, 4.60000e-01, 2.57969e-04
2.433840e+00, -1.60000e-01, 5.12600e-07, 4.80000e-01, 2.61903e-04
2.453890e+00, -1.60000e-01, 5.24521e-07, 5.00000e-01, 2.70486e-04
2.473940e+00, -1.60000e-01, 4.88758e-07, 5.20000e-01, 2.80380e-04
2.493990e+00, -1.60000e-01, 5.12600e-07, 5.40000e-01, 2.53081e-04
2.514050e+00, -1.60000e-01, 5.24521e-07, 5.60000e-01, 2.54154e-04
2.534100e+00, -1.60000e-01, 5.36442e-07, 5.80000e-01, 2.60830e-04
2.554150e+00, -1.60000e-01, 5.72205e-07, 6.00000e-01, 2.71320e-04
2.595006e+00, -2.70000e-01, 5.36442e-07, -6.00000e-01, -7.99894e-05
2.615059e+00, -2.70000e-01, 5.60284e-07, -5.80000e-01, 9.00030e-05
2.635111e+00, -2.70000e-01, 5.48363e-07, -5.60000e-01, 2.09451e-04
2.655163e+00, -2.70000e-01, 6.07967e-07, -5.40000e-01, 2.48790e-04
2.675215e+00, -2.70000e-01, 5.60284e-07, -5.20000e-01, 2.48313e-04
2.695267e+00, -2.70000e-01, 5.24521e-07, -5.00000e-01, 2.44975e-04
2.715319e+00, -2.70000e-01, 5.12600e-07, -4.80000e-01, 2.56062e-04
2.735371e+00, -2.70000e-01, 5.00679e-07, -4.60000e-01, 2.57611e-04
2.755422e+00, -2.70000e-01, 4.64916e-07, -4.40000e-01, 2.75254e-04
2.775474e+00, -2.70000e-01, 5.60284e-07, -4.20000e-01, 2.49028e-04
2.795526e+00, -2.70000e-01, 4.88758e-07, -4.00000e-01, 2.57254e-04
2.815578e+00, -2.70000e-01, 5.00679e-07, -3.80000e-01, 2.56538e-04
2.835630e+00, -2.70000e-01, 6.07967e-07, -3.60000e-01, 2.56658e-04
2.855682e+00, -2.70000e-01, 5.60284e-07, -3.40000e-01, 2.57015e-04
2.875734e+00, -2.70000e-01, 5.36442e-07, -3.20000e-01, 2.65598e-04
2.895787e+00, -2.70000e-01, 5.12600e-07, -3.00000e-01, 2.45333e-04
2.915838e+00, -2.70000e-01, 5.60284e-07, -2.80000e-01, 2.53201e-04
2.935890e+00, -2.70000e-01, 5.60284e-07, -2.60000e-01, 2.41876e-04
2.955943e+00, -2.70000e-01, 5.72205e-07, -2.40000e-01, 2.45214e-04
2.975995e+00, -2.70000e-01, 5.60284e-07, -2.20000e-01, 2.49863e-04
2.996047e+00, -2.70000e-01, 5.36442e-07, -2.00000e-01, 2.53916e-04
3.016098e+00, -2.70000e-01, 5.84126e-07, -1.80000e-01, 2.54512e-04
3.036150e+00, -2.70000e-01, 5.84126e-07, -1.60000e-01, 2.57611e-04
3.056202e+00, -2.70000e-01, 5.72205e-07, -1.40000e-01, 2.36630e-04
3.076254e+00, -2.70000e-01, 5.96046e-07, -1.20000e-01, 2.48671e-04
3.096306e+00, -2.70000e-01, 5.36442e-07, -1.00000e-01, 2.45452e-04
3.116357e+00, -2.70000e-01, 5.72205e-07, -8.00000e-02, 2.49505e-04
3.136409e+00, -2.70000e-01, 5.48363e-07, -6.00000e-02, 2.47240e-04
3.156461e+00, -2.70000e-01, 5.72205e-07, -4.00000e-02, 2.39015e-04
3.176513e+00, -2.70000e-01, 5.96046e-07, -2.00000e-02, 2.46763e-04
3.196674e+00, -2.70000e-01, 5.36442e-07, 0.00000e+00, 2.55227e-04
3.216726e+00, -2.70000e-01, 4.88758e-07, 2.00000e-02, 2.51293e-04
3.236777e+00, -2.70000e-01, 5.72205e-07, 4.00000e-02, 2.63214e-04
3.256830e+00, -2.70000e-01, 5.00679e-07, 6.00000e-02, 2.62499e-04
3.276882e+00, -2.70000e-01, 5.72205e-07, 8.00000e-02, 2.70605e-04
3.296933e+00, -2.70000e-01, 5.60284e-07, 1.00000e-01, 2.50936e-04
3.316986e+00, -2.70000e-01, 6.43730e-07, 1.20000e-01, 2.53201e-04
3.337038e+00, -2.70000e-01, 5.72205e-07, 1.40000e-01, 2.49147e-04
3.357090e+00, -2.70000e-01, 6.07967e-07, 1.60000e-01, 2.51770e-04
3.377141e+00, -2.70000e-01, 6.31809e-07, 1.80000e-01, 2.55346e-04
3.397193e+00, -2.70000e-01, 5.60284e-07, 2.00000e-01, 2.52962e-04
3.417245e+00, -2.70000e-01, 5.60284e-07, 2.20000e-01, 2.65241e-04
3.437299e+00, -2.70000e-01, 5.84126e-07, 2.40000e-01, 2.55942e-04
3.457351e+00, -2.70000e-01, 6.07967e-07, 2.60000e-01, 2.44737e-04
3.477402e+00, -2.70000e-01, 6.91414e-07, 2.80000e-01, 2.53558e-04
3.497454e+00, -2.70000e-01, 6.07967e-07, 3.00000e-01, 2.51293e-04
3.517506e+00, -2.70000e-01, 5.84126e-07, 3.20000e-01, 2.46882e-04
3.537558e+00, -2.70000e-01, 5.24521e-07, 3.40000e-01, 2.49624e-04
3.557610e+00, -2.70000e-01, 5.60284e-07, 3.60000e-01, 2.32816e-04
3.577662e+00, -2.70000e-01, 6.43730e-07, 3.80000e-01, 2.51055e-04
3.597716e+00, -2.70000e-01, 6.07967e-07, 4.00000e-01, 2.47359e-04
3.617766e+00, -2.70000e-01, 6.19888e-07, 4.20000e-01, 2.58088e-04
3.637816e+00, -2.70000e-01, 5.84126e-07, 4.40000e-01, 2.41518e-04
3.657866e+00, -2.70000e-01, 5.72205e-07, 4.60000e-01, 2.50340e-04
3.677926e+00, -2.70000e-01, 5.84126e-07, 4.80000e-01, 2.41995e-04
3.697976e+00, -2.70000e-01, 5.96046e-07, 5.00000e-01, 2.40564e-04
3.718026e+00, -2.70000e-01, 5.60284e-07, 5.20000e-01, 2.42472e-04
3.738076e+00, -2.70000e-01, 5.60284e-07, 5.40000e-01, 2.45690e-04
3.758126e+00, -2.70000e-01, 5.84126e-07, 5.60000e-01, 2.54631e-04
3.778186e+00, -2.70000e-01, 5.60284e-07, 5.80000e-01, 2.51532e-04
3.798236e+00, -2.70000e-01, 5.60284e-07, 6.00000e-01, 2.46644e-04
3.819506e+00, -3.80000e-01, 4.41074e-07, -6.00000e-01, -1.33038e-04
3.839558e+00, -3.80000e-01, 4.76837e-07, -5.80000e-01, 4.99487e-05
3.859610e+00, -3.80000e-01, 5.00679e-07, -5.60000e-01, 1.78933e-04
3.879662e+00, -3.80000e-01, 5.36442e-07, -5.40000e-01, 2.23279e-04
3.899714e+00, -3.80000e-01, 5.48363e-07, -5.20000e-01, 2.35081e-04
3.919766e+00, -3.80000e-01, 5.84126e-07, -5.00000e-01, 2.33650e-04
3.939817e+00, -3.80000e-01, 5.48363e-07, -4.80000e-01, 2.29001e-04
3.959869e+00, -3.80000e-01, 5.36442e-07, -4.60000e-01, 2.33531e-04
3.979921e+00, -3.80000e-01, 5.48363e-07, -4.40000e-01, 2.37942e-04
3.999973e+00, -3.80000e-01, 6.31809e-07, -4.20000e-01, 2.21968e-04
4.020025e+00, -3.80000e-01, 4.88758e-07, -4.00000e-01, 2.28286e-04
4.040077e+00, -3.80000e-01, 5.60284e-07, -3.80000e-01, 2.32697e-04
4.060128e+00, -3.80000e-01, 5.60284e-07, -3.60000e-01, 2.48909e-04
4.080180e+00, -3.80000e-01, 6.19888e-07, -3.40000e-01, 2.45690e-04
4.100232e+00, -3.80000e-01, 5.84126e-07, -3.20000e-01, 2.40564e-04
4.120284e+00, -3.80000e-01, 6.07967e-07, -3.00000e-01, 2.42233e-04
4.140336e+00, -3.80000e-01, 5.84126e-07, -2.80000e-01, 2.24113e-04
4.160388e+00, -3.80000e-01, 5.84126e-07, -2.60000e-01, 2.47240e-04
4.180441e+00, -3.80000e-01, 5.60284e-07, -2.40000e-01, 2.47955e-04
4.200492e+00, -3.80000e-01, 5.84126e-07, -2.20000e-01, 2.47121e-04
4.220544e+00, -3.80000e-01, 6.07967e-07, -2.00000e-01, 2.45452e-04
4.240595e+00, -3.80000e-01, 5.96046e-07, -1.80000e-01, 2.45690e-04
4.260647e+00, -3.80000e-01, 6.31809e-07, -1.60000e-01, 2.49267e-04
4.280699e+00, -3.80000e-01, 6.31809e-07, -1.40000e-01, -9.41753e-06
4.300751e+00, -3.80000e-01, 5.60284e-07, -1.20000e-01, 1.71661e-05
4.320803e+00, -3.80000e-01, 5.60284e-07, -1.00000e-01, 2.34485e-04
4.340855e+00, -3.80000e-01, 5.96046e-07, -8.00000e-02, 2.39611e-04
4.360907e+00, -3.80000e-01, 6.43730e-07, -6.00000e-02, 2.20060e-04
4.380958e+00, -3.80000e-01, 6.19888e-07, -4.00000e-02, 1.68324e-04
4.401011e+00, -3.80000e-01, 6.19888e-07, -2.00000e-02, 2.33293e-04
4.421171e+00, -3.80000e-01, 5.96046e-07, 0.00000e+00, 2.62737e-04
4.441223e+00, -3.80000e-01, 5.72205e-07, 2.00000e-02, 2.95162e-04
4.461275e+00, -3.80000e-01, 5.96046e-07, 4.00000e-02, 3.14832e-04
4.481327e+00, -3.80000e-01, 5.84126e-07, 6.00000e-02, 2.61545e-04
4.501379e+00, -3.80000e-01, 5.60284e-07, 8.00000e-02, 2.74539e-04
4.521431e+00, -3.80000e-01, 5.36442e-07, 1.00000e-01, 2.62380e-04
4.541484e+00, -3.80000e-01, 5.72205e-07, 1.20000e-01, 2.60592e-04
4.561535e+00, -3.80000e-01, 5.96046e-07, 1.40000e-01, 2.52604e-04
4.581587e+00, -3.80000e-01, 5.72205e-07, 1.60000e-01, 2.46644e-04
4.601639e+00, -3.80000e-01, 6.07967e-07, 1.80000e-01, 2.63929e-04
4.621691e+00, -3.80000e-01, 6.07967e-07, 2.00000e-01, 2.79784e-04
4.641742e+00, -3.80000e-01, 6.43730e-07, 2.20000e-01, 4.94480e-04
4.661797e+00, -3.80000e-01, 6.31809e-07, 2.40000e-01, 5.47171e-04
4.681848e+00, -3.80000e-01, 5.48363e-07, 2.60000e-01, 4.23074e-04
4.701900e+00, -3.80000e-01, 5.96046e-07, 2.80000e-01, 4.37498e-04
4.721952e+00, -3.80000e-01, 5.72205e-07, 3.00000e-01, 4.65870e-04
4.742004e+00, -3.80000e-01, 6.19888e-07, 3.20000e-01, 7.93815e-04
4.762056e+00, -3.80000e-01, 5.24521e-07, 3.40000e-01, 9.29475e-04
4.782108e+00, -3.80000e-01, 5.72205e-07, 3.60000e-01, 1.06204e-03
4.802160e+00, -3.80000e-01, 5.24521e-07, 3.80000e-01, 1.15073e-03
4.822216e+00, -3.80000e-01, 5.60284e-07, 4.00000e-01, 1.19758e-03
4.842266e+00, -3.80000e-01, 5.96046e-07, 4.20000e-01, 1.25337e-03
4.862316e+00, -3.80000e-01, 5.72205e-07, 4.40000e-01, 1.43898e-03
4.882366e+00, -3.80000e-01, 5.72205e-07, 4.60000e-01, 1.77538e-03
4.902416e+00, -3.80000e-01, 6.07967e-07, 4.80000e-01, 1.74308e-03
4.922476e+00, -3.80000e-01, 5.72205e-07, 5.00000e-01, 1.85490e-03
4.942526e+00, -3.80000e-01, 6.07967e-07, 5.20000e-01, 1.92559e-03
4.962576e+00, -3.80000e-01, 6.55651e-07, 5.40000e-01, 1.74809e-03
4.982626e+00, -3.80000e-01, 6.19888e-07, 5.60000e-01, 1.67239e-03
5.002686e+00, -3.80000e-01, 5.84126e-07, 5.80000e-01, 1.91104e-03
5.022736e+00, -3.80000e-01, 5.24521e-07, 6.00000e-01, 2.05028e-03
5.002102e+00, -4.90000e-01, 4.64916e-07, -6.00000e-01, -2.07973e-03
5.022154e+00, -4.90000e-01, 5.48363e-07, -5.80000e-01, -1.79517e-03
5.042206e+00, -4.90000e-01, 5.60284e-07, -5.60000e-01, -1.59347e-03
5.062258e+00, -4.90000e-01, 6.07967e-07, -5.40000e-01, -1.46306e-03
5.082309e+00, -4.90000e-01, 5.72205e-07, -5.20000e-01, -1.37079e-03
5.102361e+00, -4.90000e-01, 6.07967e-07, -5.00000e-01, -1.29676e-03
5.122413e+00, -4.90000e-01, 6.07967e-07, -4.80000e-01, -1.23096e-03
5.142465e+00, -4.90000e-01, 5.36442e-07, -4.60000e-01, -1.14834e-03
5.162517e+00, -4.90000e-01, 5.60284e-07, -4.40000e-01, -1.07336e-03
5.182569e+00, -4.90000e-01, 5.72205e-07, -4.20000e-01, -1.01280e-03
5.202621e+00, -4.90000e-01, 5.36442e-07, -4.00000e-01, -9.33766e-04
5.222672e+00, -4.90000e-01, 5.36442e-07, -3.80000e-01, -8.56996e-04
5.242724e+00, -4.90000e-01, 5.72205e-07, -3.60000e-01, -7.80344e-04
5.262776e+00, -4.90000e-01, 5.84126e-07, -3.40000e-01, -7.12037e-04
5.282828e+00, -4.90000e-01, 5.72205e-07, -3.20000e-01, -6.63757e-04
5.302880e+00, -4.90000e-01, 5.36442e-07, -3.00000e-01, -5.96404e-04
5.322932e+00, -4.90000e-01, 5.36442e-07, -2.80000e-01, -5.26071e-04
5.342984e+00, -4.90000e-01, 6.07967e-07, -2.60000e-01, -4.60029e-04
5.363036e+00, -4.90000e-01, 5.36442e-07, -2.40000e-01, -3.98517e-04
5.383088e+00, -4.90000e-01, 6.07967e-07, -2.20000e-01, -3.36289e-04
5.403140e+00, -4.90000e-01, 6.31809e-07, -2.00000e-01, -2.88606e-04
5.423191e+00, -4.90000e-01, 5.96046e-07, -1.80000e-01, -2.24471e-04
5.443243e+00, -4.90000e-01, 6.19888e-07, -1.60000e-01, -1.72257e-04
