START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,2.287060e+00, -6.40000e-01, -5.70416e-03, -8.90493e-05
1,2.307110e+00, -6.50000e-01, -5.54752e-03, -9.87053e-05
1,2.327160e+00, -6.60000e-01, -5.39172e-03, -9.87053e-05
1,2.347210e+00, -6.70000e-01, -5.20694e-03, -8.98838e-05
1,2.367260e+00, -6.80000e-01, -5.01144e-03, -8.15392e-05
1,2.387320e+00, -6.90000e-01, -4.78756e-03, -8.15392e-05
1,2.407370e+00, -7.00000e-01, -4.55654e-03, -7.73668e-05
1,2.427420e+00, -7.10000e-01, -4.28617e-03, -7.60555e-05
1,2.447470e+00, -7.20000e-01, -3.99208e-03, -7.10487e-05
1,2.467520e+00, -7.30000e-01, -3.65579e-03, -7.29561e-05
1,2.487580e+00, -7.40000e-01, -3.29709e-03, -7.86781e-05
1,2.507630e+00, -7.50000e-01, -2.89333e-03, -6.74725e-05
1,2.527680e+00, -7.60000e-01, -2.45547e-03, -5.68628e-05
1,2.547730e+00, -7.70000e-01, -2.04289e-03, -6.30617e-05
1,2.567790e+00, -7.80000e-01, -1.64139e-03, -5.92470e-05
1,2.587840e+00, -7.90000e-01, -1.28806e-03, -7.18832e-05
1,2.607890e+00, -8.00000e-01, -9.47237e-04, -8.03471e-05
1,2.627940e+00, -8.10000e-01, -6.68287e-04, -7.20024e-05
1,2.647990e+00, -8.20000e-01, -4.57048e-04, -6.98566e-05
1,2.668050e+00, -8.30000e-01, -3.00646e-04, -6.80685e-05
1,2.688100e+00, -8.40000e-01, -1.96099e-04, -6.13928e-05
1,2.708150e+00, -8.50000e-01, -1.07527e-04, -6.27041e-05
1,2.728200e+00, -8.60000e-01, -2.59876e-05, -6.00815e-05
1,2.748250e+00, -8.70000e-01, 2.37226e-05, -9.17912e-05
1,2.768310e+00, -8.80000e-01, 6.63996e-05, -8.49962e-05
1,2.788360e+00, -8.90000e-01, 1.21474e-04, -5.54323e-05
1,2.808410e+00, -9.00000e-01, 1.47104e-04, -6.69956e-05
1,2.828460e+00, -9.10000e-01, 1.66297e-04, -6.99759e-05
1,2.848520e+00, -9.20000e-01, 1.90020e-04, -6.77109e-05
1,2.868570e+00, -9.30000e-01, 2.14815e-04, -6.63996e-05
1,2.888620e+00, -9.40000e-01, 2.13861e-04, -5.76973e-05
1,2.908670e+00, -9.50000e-01, 2.46286e-04, -6.29425e-05
1,2.928730e+00, -9.60000e-01, 2.65002e-04, -5.35250e-05
1,2.948780e+00, -9.70000e-01, 2.68340e-04, -6.80685e-05
1,2.968830e+00, -9.80000e-01, 2.84910e-04, -6.43730e-05
1,2.988880e+00, -9.90000e-01, 2.83480e-04, -6.63996e-05
1,3.008930e+00, -1.00000e+00, 2.89917e-04, -7.99894e-05
1,3.028980e+00, -1.01000e+00, 3.01600e-04, -6.80685e-05
1,3.049040e+00, -1.02000e+00, 3.03388e-04, -7.97510e-05
1,3.069090e+00, -1.03000e+00, 2.95520e-04, -7.91550e-05
1,3.089140e+00, -1.04000e+00, 2.99692e-04, -7.95126e-05
1,3.109200e+00, -1.05000e+00, 3.00288e-04, -8.63075e-05
1,3.129250e+00, -1.06000e+00, 2.92420e-04, -8.30889e-05
1,3.149300e+00, -1.07000e+00, 3.00646e-04, -7.45058e-05
1,3.169350e+00, -1.08000e+00, 2.87414e-04, -7.55787e-05
1,3.189400e+00, -1.09000e+00, 2.87652e-04, -6.36578e-05
1,3.209450e+00, -1.10000e+00, 3.02315e-04, -7.64132e-05
1,3.229510e+00, -1.11000e+00, 2.92897e-04, -6.75917e-05
1,3.249560e+00, -1.12000e+00, 2.85745e-04, -5.93662e-05
1,3.269610e+00, -1.13000e+00, 2.87533e-04, -6.81877e-05
1,3.289660e+00, -1.14000e+00, 2.76208e-04, -8.21352e-05
1,3.309710e+00, -1.15000e+00, 2.69532e-04, -7.96318e-05
1,3.329770e+00, -1.16000e+00, 2.94924e-04, -7.08103e-05
1,3.349820e+00, -1.17000e+00, 2.82645e-04, -7.16448e-05
1,3.369870e+00, -1.18000e+00, 2.83957e-04, -6.52075e-05
1,3.389920e+00, -1.19000e+00, 2.85268e-04, -5.23329e-05
1,3.409980e+00, -1.20000e+00, 2.93255e-04, -5.24521e-05
1,3.430030e+00, -1.21000e+00, 2.99811e-04, -6.28233e-05
1,3.450080e+00, -1.22000e+00, 2.85745e-04, -5.50747e-05
1,3.470130e+00, -1.23000e+00, 2.95520e-04, -6.12736e-05
1,3.490180e+00, -1.24000e+00, 2.96235e-04, -7.16448e-05
1,3.510230e+00, -1.25000e+00, 3.05176e-04, -6.44922e-05
1,3.530290e+00, -1.26000e+00, 3.00527e-04, -7.14064e-05
1,3.550340e+00, -1.27000e+00, 3.05176e-04, -6.69956e-05
1,3.570390e+00, -1.28000e+00, 3.08156e-04, -5.92470e-05
1,3.590440e+00, -1.29000e+00, 2.93851e-04, -5.97239e-05
1,3.610490e+00, -1.30000e+00, 2.79546e-04, -6.22272e-05
1,3.630550e+00, -1.31000e+00, 2.89559e-04, -7.48634e-05
1,3.650600e+00, -1.32000e+00, 2.87771e-04, -5.99623e-05
1,3.670650e+00, -1.33000e+00, 2.78234e-04, -6.86646e-05
1,3.690700e+00, -1.34000e+00, 3.03745e-04, -6.66380e-05
1,3.710760e+00, -1.35000e+00, 2.93493e-04, -6.56843e-05
1,3.730810e+00, -1.36000e+00, 2.94805e-04, -6.30617e-05
1,3.750860e+00, -1.37000e+00, 2.95401e-04, -5.37634e-05
1,3.770910e+00, -1.38000e+00, 2.95043e-04, -3.54052e-05
1,3.790960e+00, -1.39000e+00, 2.98858e-04, -4.58956e-05
1,3.811020e+00, -1.40000e+00, 2.92420e-04, -5.53131e-05
1,3.831070e+00, -1.41000e+00, 2.86222e-04, -4.95911e-05
1,3.851120e+00, -1.42000e+00, 2.94566e-04, -5.75781e-05
1,3.871170e+00, -1.43000e+00, 3.05176e-04, -6.17504e-05
1,3.891220e+00, -1.44000e+00, 2.93732e-04, -5.63860e-05
1,3.911280e+00, -1.45000e+00, 2.96474e-04, -6.90222e-05
1,3.931330e+00, -1.46000e+00, 3.12209e-04, -6.72340e-05
1,3.951380e+00, -1.47000e+00, 3.22819e-04, -6.83069e-05
1,3.971430e+00, -1.48000e+00, 3.13640e-04, -8.45194e-05
1,3.991490e+00, -1.49000e+00, 3.17216e-04, -8.52346e-05
1,4.011540e+00, -1.50000e+00, 3.04580e-04, -7.62939e-05
1,4.031590e+00, -1.49000e+00, 3.05533e-04, -8.17776e-05
1,4.051640e+00, -1.48000e+00, 2.98977e-04, -7.66516e-05
1,4.071690e+00, -1.47000e+00, 3.11613e-04, -8.49962e-05
1,4.091750e+00, -1.46000e+00, 3.14474e-04, -7.90358e-05
1,4.111800e+00, -1.45000e+00, 3.06129e-04, -6.19888e-05
1,4.131850e+00, -1.44000e+00, 3.03149e-04, -7.80821e-05
1,4.151900e+00, -1.43000e+00, 2.98023e-04, -6.84261e-05
1,4.171950e+00, -1.42000e+00, 2.90632e-04, -8.63075e-05
1,4.192010e+00, -1.41000e+00, 2.82407e-04, -8.02279e-05
1,4.212060e+00, -1.40000e+00, 2.99215e-04, -8.01086e-05
1,4.232110e+00, -1.39000e+00, 3.04699e-04, -8.09431e-05
1,4.252160e+00, -1.38000e+00, 3.18527e-04, -7.86781e-05
1,4.272220e+00, -1.37000e+00, 3.11852e-04, -8.26120e-05
