START TIME:2024-03-11 15:19:12
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,2.507630e+00, -7.50000e-01, -6.82914e-03, -7.18832e-05
1,2.527680e+00, -7.60000e-01, -6.90830e-03, -7.99894e-05
1,2.547740e+00, -7.70000e-01, -7.00521e-03, -7.68900e-05
1,2.567790e+00, -7.80000e-01, -7.08163e-03, -8.20160e-05
1,2.587840e+00, -7.90000e-01, -7.17139e-03, -7.25985e-05
1,2.607890e+00, -8.00000e-01, -7.23314e-03, -7.02143e-05
1,2.627950e+00, -8.10000e-01, -7.31099e-03, -6.62804e-05
1,2.648000e+00, -8.20000e-01, -7.38311e-03, -5.71012e-05
1,2.668050e+00, -8.30000e-01, -7.43937e-03, -5.61476e-05
1,2.688100e+00, -8.40000e-01, -7.49278e-03, -6.25849e-05
1,2.708150e+00, -8.50000e-01, -7.56288e-03, -7.28369e-05
1,2.728200e+00, -8.60000e-01, -7.60365e-03, -7.46250e-05
1,2.748260e+00, -8.70000e-01, -7.64501e-03, -7.39098e-05
1,2.768310e+00, -8.80000e-01, -7.68614e-03, -6.17504e-05
1,2.788360e+00, -8.90000e-01, -7.71046e-03, -7.60555e-05
1,2.808410e+00, -9.00000e-01, -7.73859e-03, -7.33137e-05
1,2.828470e+00, -9.10000e-01, -7.77304e-03, -6.91414e-05
1,2.848520e+00, -9.20000e-01, -7.78365e-03, -7.97510e-05
1,2.868570e+00, -9.30000e-01, -7.80809e-03, -7.87973e-05
1,2.888620e+00, -9.40000e-01, -7.82561e-03, -7.08103e-05
1,2.908670e+00, -9.50000e-01, -7.84409e-03, -7.55787e-05
1,2.928730e+00, -9.60000e-01, -7.85577e-03, -7.48634e-05
1,2.948780e+00, -9.70000e-01, -7.87687e-03, -6.92606e-05
1,2.968830e+00, -9.80000e-01, -7.87377e-03, -7.83205e-05
1,2.988880e+00, -9.90000e-01, -7.88200e-03, -8.28505e-05
1,3.008930e+00, -1.00000e+00, -7.89428e-03, -9.58443e-05
1,3.028990e+00, -1.01000e+00, -7.88283e-03, -9.00030e-05
1,3.049040e+00, -1.02000e+00, -7.87842e-03, -8.26120e-05
1,3.069090e+00, -1.03000e+00, -7.88665e-03, -1.02282e-04
1,3.089140e+00, -1.04000e+00, -7.87342e-03, -7.35521e-05
1,3.109200e+00, -1.05000e+00, -7.85601e-03, -6.11544e-05
1,3.129250e+00, -1.06000e+00, -7.83587e-03, -5.91278e-05
1,3.149300e+00, -1.07000e+00, -7.82871e-03, -6.02007e-05
1,3.169350e+00, -1.08000e+00, -7.81071e-03, -6.49691e-05
1,3.189400e+00, -1.09000e+00, -7.78437e-03, -5.86510e-05
1,3.209450e+00, -1.10000e+00, -7.74729e-03, -6.55651e-05
