START TIME:2024-04-01 19:12:42
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,6.008040e+00, -2.22045e-16, 2.09570e-04, -4.88758e-05
1,6.058090e+00, -5.00000e-02, 1.88351e-04, -4.39882e-05
1,6.108140e+00, -1.00000e-01, 2.05874e-04, -5.26905e-05
1,6.158200e+00, -1.50000e-01, 1.89543e-04, -4.99487e-05
1,6.208250e+00, -2.00000e-01, 1.83225e-04, -5.56707e-05
1,6.258810e+00, -2.50000e-01, 1.53661e-04, -5.68628e-05
1,6.308870e+00, -3.00000e-01, 1.53184e-04, -6.07967e-05
1,6.358920e+00, -3.50000e-01, 1.50561e-04, -5.93662e-05
1,6.408970e+00, -4.00000e-01, 1.33038e-04, -5.75781e-05
1,6.459020e+00, -4.50000e-01, 1.09792e-04, -8.28505e-05
1,6.509070e+00, -5.00000e-01, 7.62939e-05, -6.79493e-05
1,6.559130e+00, -5.50000e-01, 7.60555e-05, -6.78301e-05
1,6.609180e+00, -6.00000e-01, 6.40154e-05, -5.74589e-05
1,6.659230e+00, -6.50000e-01, 4.92334e-05, -6.28233e-05
1,6.709280e+00, -7.00000e-01, 4.14848e-05, -6.13928e-05
1,6.759340e+00, -7.50000e-01, 4.24385e-05, -5.57899e-05
1,6.809390e+00, -8.00000e-01, 3.52859e-05, -5.43594e-05
1,6.859440e+00, -8.50000e-01, 4.38690e-05, -6.56843e-05
1,6.909490e+00, -9.00000e-01, 3.80278e-05, -6.16312e-05
1,6.959540e+00, -9.50000e-01, 3.88622e-05, -7.16448e-05
1,7.009600e+00, -1.00000e+00, 3.64780e-05, -6.59227e-05
1,7.059650e+00, -1.05000e+00, 4.73261e-05, -6.34193e-05
1,7.109700e+00, -1.10000e+00, 6.55651e-05, -6.79493e-05
1,7.159750e+00, -1.15000e+00, 7.89165e-05, -4.10080e-05
1,7.209810e+00, -1.20000e+00, 9.38177e-05, -5.65052e-05
1,7.259860e+00, -1.25000e+00, 1.12295e-04, -4.61340e-05
1,7.309910e+00, -1.30000e+00, 1.32918e-04, -4.78029e-05
1,7.359960e+00, -1.35000e+00, 1.47820e-04, -5.61476e-05
1,7.410020e+00, -1.40000e+00, 1.31249e-04, -5.19753e-05
1,7.460070e+00, -1.45000e+00, 1.55926e-04, -6.46114e-05
1,7.510120e+00, -1.50000e+00, 1.59264e-04, -4.52995e-05
1,7.560180e+00, -1.55000e+00, 1.71661e-04, -5.55515e-05
1,7.610230e+00, -1.60000e+00, 1.87635e-04, -4.75645e-05
1,7.660280e+00, -1.65000e+00, 1.77264e-04, -4.64916e-05
1,7.710330e+00, -1.70000e+00, 1.90973e-04, -7.06911e-05
1,7.760380e+00, -1.75000e+00, 1.88828e-04, -5.31673e-05
1,7.810440e+00, -1.80000e+00, 1.95265e-04, -6.63996e-05
1,7.860490e+00, -1.85000e+00, 2.07186e-04, -7.27177e-05
1,7.910540e+00, -1.90000e+00, 2.10285e-04, -5.57899e-05
1,7.960590e+00, -1.95000e+00, 2.04444e-04, -6.78301e-05
1,8.010650e+00, -2.00000e+00, 1.29938e-04, -4.33922e-05
2,9.227272e+00, -2.00000e+00, 1.19925e-04, -1.67179e-03
2,9.277321e+00, -1.95000e+00, 1.84655e-04, -6.28829e-04
2,9.327374e+00, -1.90000e+00, 1.73926e-04, -1.53661e-04
2,9.377425e+00, -1.85000e+00, 1.68800e-04, -5.99623e-05
2,9.427478e+00, -1.80000e+00, 1.92642e-04, -5.81741e-05
2,9.477531e+00, -1.75000e+00, 1.78576e-04, -5.96046e-05
2,9.527584e+00, -1.70000e+00, 1.71900e-04, -5.78165e-05
2,9.577635e+00, -1.65000e+00, 1.73330e-04, -4.73261e-05
2,9.627688e+00, -1.60000e+00, 1.72377e-04, -4.22001e-05
2,9.677739e+00, -1.55000e+00, 1.66178e-04, -6.67572e-05
2,9.727792e+00, -1.50000e+00, 1.79052e-04, -6.27041e-05
2,9.777843e+00, -1.45000e+00, 1.67251e-04, -5.51939e-05
2,9.827896e+00, -1.40000e+00, 1.73450e-04, -7.22408e-05
2,9.877947e+00, -1.35000e+00, 1.43290e-04, -4.82798e-05
2,9.928003e+00, -1.30000e+00, 1.54138e-04, -5.65052e-05
2,9.978051e+00, -1.25000e+00, 1.60575e-04, -4.27961e-05
2,1.002810e+01, -1.20000e+00, 1.69396e-04, -6.00815e-05
2,1.007816e+01, -1.15000e+00, 1.86443e-04, -5.44786e-05
2,1.012821e+01, -1.10000e+00, 1.85013e-04, -4.31538e-05
2,1.017826e+01, -1.05000e+00, 1.91808e-04, -6.89030e-05
2,1.022831e+01, -1.00000e+00, 1.87635e-04, -6.33001e-05
2,1.027836e+01, -9.50000e-01, 1.94788e-04, -3.49283e-05
2,1.032842e+01, -9.00000e-01, 1.83463e-04, -3.75509e-05
2,1.037847e+01, -8.50000e-01, 1.92881e-04, -3.02792e-05
2,1.042852e+01, -8.00000e-01, 1.84417e-04, -5.85318e-05
2,1.047857e+01, -7.50000e-01, 1.82033e-04, -2.71797e-05
2,1.052863e+01, -7.00000e-01, 1.97530e-04, -3.17097e-05
2,1.057868e+01, -6.50000e-01, 1.76907e-04, -3.37362e-05
2,1.062873e+01, -6.00000e-01, 1.88231e-04, -2.43187e-05
2,1.067878e+01, -5.50000e-01, 1.80483e-04, -4.61340e-05
2,1.072884e+01, -5.00000e-01, 1.97411e-04, -4.07696e-05
